Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
2011-03-15,-0.018743,0.60172,1.06287,1.52905,1.98683,2.37348,2.67946,2.93919,3.15872,3.35133
2011-03-16,0.125218,0.563572,0.976811,1.43021,1.88085,2.25874,2.56736,2.82631,3.05095,3.24646
2011-03-17,0.076691,0.576132,1.01236,1.47059,1.91953,2.30268,2.60739,2.86426,3.08818,3.28264
2011-03-18,0.163271,0.591296,1.03534,1.51385,1.96256,2.34093,2.64302,2.89491,3.11788,3.31026
2011-03-21,0.116432,0.643405,1.11056,1.58675,2.03944,2.41141,2.70599,2.94758,3.16172,3.35035
2011-03-22,0.132577,0.658888,1.12878,1.60769,2.06052,2.43522,2.7289,2.96717,3.17257,3.36145
2011-03-23,0.151259,0.663216,1.12761,1.61537,2.06936,2.44604,2.74505,2.98197,3.18989,3.37794
2011-03-24,0.044316,0.679286,1.17817,1.67785,2.13623,2.51856,2.80703,3.03929,3.24511,3.43053
2011-03-25,0.07297,0.756463,1.24893,1.74397,2.19674,2.57124,2.85296,3.0857,3.29237,3.47794
2011-03-28,0.137616,0.780815,1.28152,1.77215,2.22599,2.59359,2.8708,3.09601,3.29736,3.47832
2011-03-29,0.148296,0.806159,1.31216,1.80049,2.25889,2.63202,2.91089,3.13776,3.33466,3.5172
2011-03-30,0.150926,0.775785,1.26866,1.75761,2.21527,2.58503,2.86854,3.09657,3.29868,3.48195
2011-03-31,0.141251,0.765772,1.2687,1.76943,2.22463,2.6046,2.88285,3.10046,3.29571,3.47722
2011-04-01,0.155615,0.792073,1.30423,1.80816,2.25251,2.61682,2.89281,3.10833,3.30227,3.47971
2011-04-04,0.142469,0.749868,1.26044,1.75988,2.20619,2.57857,2.86041,3.08112,3.27884,3.46172
2011-04-05,0.213454,0.824911,1.32723,1.82643,2.27477,2.642,2.92069,3.14261,3.33276,3.51303
2011-04-06,0.200169,0.837058,1.36414,1.86935,2.31942,2.6937,2.97884,3.19895,3.39194,3.57231
2011-04-07,0.105311,0.782367,1.3216,1.83128,2.28979,2.67738,2.96731,3.20009,3.40097,3.58258
2011-04-08,0.140783,0.805415,1.34072,1.85738,2.31153,2.6917,2.98426,3.22028,3.42414,3.60247
2011-04-11,0.185071,0.810032,1.34662,1.85143,2.31054,2.68769,2.9786,3.21589,3.42066,3.60058
2011-04-12,0.131554,0.748036,1.26098,1.7623,2.22596,2.60427,2.89654,3.14271,3.35072,3.53775
2011-04-13,0.211851,0.729364,1.22792,1.72799,2.19,2.56781,2.86038,3.099,3.31123,3.50297
2011-04-14,0.133479,0.754311,1.26368,1.76696,2.22965,2.60673,2.88918,3.12623,3.33812,3.52721
2011-04-15,0.122272,0.694117,1.18463,1.68486,2.14491,2.52176,2.81188,3.0528,3.26655,3.45253
2011-04-18,0.141717,0.658233,1.12467,1.61876,2.08023,2.46549,2.76532,3.01266,3.22855,3.41659
2011-04-19,0.125888,0.658755,1.12676,1.61882,2.08301,2.46366,2.75858,3.00426,3.21404,3.40346
2011-04-20,0.047751,0.677437,1.16906,1.67114,2.13832,2.51463,2.8102,3.05024,3.26,3.44784
2011-04-21,0.149887,0.675194,1.16903,1.67681,2.14155,2.51601,2.80549,3.04839,3.25965,3.44581
2011-04-25,0.099579,0.649653,1.14243,1.64001,2.09554,2.46802,2.76455,3.0107,3.2232,3.40829
2011-04-26,0.198147,0.636186,1.1005,1.5955,2.05498,2.42703,2.72016,2.96925,3.17907,3.36657
2011-04-27,0.220547,0.645412,1.11578,1.60795,2.07058,2.45565,2.76043,3.00895,3.22393,3.41515
2011-04-28,0.215283,0.606428,1.04413,1.53027,1.99484,2.38875,2.69165,2.94466,3.16775,3.36483
2011-04-29,0.190922,0.591988,1.02661,1.51679,1.97187,2.36105,2.67005,2.92653,3.15232,3.34784
2011-05-02,0.143818,0.594739,1.03118,1.51092,1.96923,2.35098,2.66034,2.91865,3.14547,3.342
2011-05-03,0.168116,0.594685,1.01838,1.49228,1.94918,2.32609,2.63297,2.89415,3.11479,3.30967
2011-05-04,0.153569,0.584632,1.00835,1.48445,1.93829,2.30732,2.61133,2.86174,3.08028,3.27417
2011-05-05,0.168898,0.574436,0.984154,1.44239,1.89223,2.26237,2.55707,2.80634,3.02866,3.2253
2011-05-06,0.211087,0.557585,0.959193,1.42138,1.86993,2.23635,2.53336,2.78729,3.018,3.21904
2011-05-09,0.13269,0.538718,0.951318,1.39819,1.84328,2.21137,2.51194,2.7708,3.00431,3.2079
2011-05-10,0.096923,0.581615,0.999481,1.45093,1.8993,2.2655,2.56532,2.82864,3.05694,3.25933
2011-05-11,0.146569,0.552065,0.959337,1.41025,1.85988,2.22723,2.53007,2.78902,3.02021,3.22401
2011-05-12,0.108603,0.556243,0.9756,1.43711,1.88976,2.26469,2.56315,2.82048,3.05365,3.25952
2011-05-13,0.054779,0.541541,0.956412,1.41188,1.85893,2.22724,2.52381,2.78026,3.01549,3.2197
2011-05-16,0.054824,0.519974,0.930911,1.37182,1.81922,2.19244,2.49351,2.74971,2.98089,3.18277
2011-05-17,0.086736,0.527904,0.909333,1.35063,1.7983,2.17057,2.47102,2.72744,2.9519,3.15367
2011-05-18,0.07009,0.559022,0.961541,1.40772,1.85245,2.22429,2.52783,2.77807,3.00158,3.20158
2011-05-19,0.080838,0.532912,0.935737,1.38739,1.83772,2.21695,2.51773,2.77219,2.99992,3.20177
2011-05-20,0.106876,0.521872,0.914909,1.37152,1.8172,2.19219,2.49386,2.74922,2.98488,3.18905
2011-05-23,0.084424,0.52855,0.916727,1.36108,1.80651,2.17562,2.47114,2.7253,2.96238,3.17047
2011-05-24,0.026858,0.522968,0.916193,1.35816,1.8052,2.16922,2.46307,2.72264,2.95428,3.16272
2011-05-25,0.076024,0.513401,0.900881,1.33628,1.78665,2.15671,2.45961,2.71734,2.95287,3.16686
2011-05-26,0.131076,0.46165,0.825069,1.25831,1.70894,2.08623,2.38337,2.64455,2.88529,3.1018
2011-05-27,-0.003408,0.4512,0.821045,1.25782,1.70666,2.07697,2.37819,2.64386,2.89104,3.11098
2011-05-31,-0.034118,0.440365,0.792027,1.22763,1.67776,2.05542,2.3626,2.63067,2.87227,3.09207
2011-06-01,0.002374,0.42433,0.742558,1.165,1.60645,1.97269,2.27769,2.54091,2.78851,3.01251
2011-06-02,-0.054768,0.445599,0.786363,1.20799,1.64823,2.01799,2.31908,2.58528,2.83979,3.07058
2011-06-03,-0.078153,0.418052,0.757116,1.17584,1.6097,1.9767,2.27641,2.54216,2.80378,3.04062
2011-06-06,-0.09229,0.414433,0.758884,1.16571,1.601,1.96964,2.27453,2.54473,2.80786,3.0469
2011-06-07,0.002792,0.397046,0.734884,1.15165,1.59422,1.9734,2.28543,2.55972,2.81782,3.05849
2011-06-08,0.036145,0.375853,0.672167,1.08664,1.52443,1.90797,2.23186,2.50978,2.7717,3.0111
2011-06-09,0.027334,0.410729,0.72623,1.15386,1.59168,1.9736,2.28795,2.55709,2.81214,3.04674
2011-06-10,-0.009979,0.397162,0.709219,1.1422,1.57368,1.94872,2.2619,2.53226,2.79015,3.02262
2011-06-13,-0.055198,0.39233,0.721466,1.15752,1.59672,1.97425,2.2856,2.55222,2.80751,3.04096
2011-06-14,-0.039041,0.44228,0.79441,1.24941,1.7002,2.08162,2.39205,2.66058,2.90999,3.14379
2011-06-15,0.093131,0.376051,0.680188,1.11952,1.56481,1.94182,2.25227,2.52408,2.78583,3.02643
2011-06-16,0.112407,0.378257,0.667174,1.08809,1.5159,1.88606,2.18936,2.46037,2.72325,2.96426
2011-06-17,0.143071,0.387859,0.685349,1.11689,1.54368,1.9158,2.22263,2.49786,2.7657,3.00544
2011-06-20,0.111856,0.38315,0.692964,1.12792,1.56361,1.93387,2.23744,2.51391,2.78458,3.02717
2011-06-21,0.091052,0.38234,0.695151,1.13274,1.57628,1.95341,2.26081,2.54045,2.8059,3.0497
2011-06-22,0.128573,0.381023,0.68344,1.12668,1.56861,1.94725,2.26065,2.53868,2.80815,3.05351
2011-06-23,0.203839,0.352596,0.620527,1.04063,1.4813,1.86831,2.1759,2.45709,2.73095,2.97728
2011-06-24,0.256156,0.338391,0.573987,0.990284,1.42542,1.82092,2.13294,2.41597,2.6929,2.93964
2011-06-27,0.259835,0.399416,0.640929,1.04313,1.47922,1.87183,2.17933,2.46395,2.74358,2.99475
2011-06-28,0.218336,0.484047,0.768254,1.18678,1.63352,2.02075,2.32104,2.59513,2.85877,3.10427
2011-06-29,0.070729,0.460012,0.796833,1.22734,1.68737,2.08648,2.3923,2.66337,2.92819,3.172
2011-06-30,-0.080558,0.44762,0.82203,1.2777,1.75235,2.15871,2.45942,2.71922,2.97412,3.21282
2011-07-01,-0.0036,0.481916,0.869293,1.33014,1.79986,2.19996,2.50567,2.76644,3.01658,3.24805
2011-07-05,0.099098,0.441634,0.788331,1.23088,1.69874,2.10975,2.42271,2.69541,2.94918,3.18718
2011-07-06,0.087821,0.419929,0.753602,1.18782,1.65339,2.06755,2.38718,2.65594,2.91185,3.15171
2011-07-07,0.084521,0.484699,0.836716,1.27791,1.74601,2.15063,2.45546,2.71719,2.96752,3.20079
2011-07-08,0.041363,0.391995,0.704764,1.12558,1.5798,1.98384,2.30098,2.5781,2.84155,3.07838
2011-07-11,0.064361,0.363403,0.642586,1.03918,1.4835,1.88005,2.1994,2.48283,2.74821,2.98552
2011-07-12,0.093625,0.376895,0.643617,1.03892,1.47987,1.8693,2.18787,2.47802,2.74103,2.97835
